PERGUNTAS,CLASSES
"['benefício', 'floresta', 'aleatório']",vantagem
"['vantagem', 'floresta', 'aleatório']",vantagem
"['poder', 'ganhar', 'utilizar', 'floresta', 'aleatório']",vantagem
"['preferir', 'utilizar', 'floresta', 'aleatório']",vantagem
"['fazer', 'floresta', 'aleatório', 'melhor', 'outro']",vantagem
"['diferença', 'entre', 'regressão', 'e', 'classificação']",tarefa
"['diferir', 'regressão', 'classificação']",tarefa
"['contexto', 'regressão', 'e', 'classificação']",tarefa
"['problema', 'regressão', 'ou', 'classificação']",tarefa
"['regressão', 'e', 'classificação', 'diferir']",tarefa
"['hiperparâmetro', 'state']",randomState
"['servir', 'hiperparâmetro', 'state']",randomState
"['como', 'hiperparâmetro', 'state', 'afetar', 'funcionar']",randomState
"['importância', 'hiperparâmetro', 'state']",randomState
"['explicar', 'hiperparâmetro', 'state']",randomState
"['tipo', 'paradigma', 'utilizar', 'floresta', 'aleatório']",paradigma
"['paradigma', 'utilizar', 'floresta', 'aleatório']",paradigma
"['tipo', 'paradigma', 'floresta', 'aleatório', 'utilizar']",paradigma
"['floresta', 'aleatório', 'utilizar', 'tipo', 'paradigma']",paradigma
"['paradigma', 'floresta', 'aleatório', 'seguir']",paradigma
"['aprendizagem', 'supervisionar']",paradigma
"['definição', 'aprendizagem', 'supervisionar']",paradigma
"['significar', 'aprendizagem', 'supervisionar']",paradigma
"['conceito', 'aprendizagem', 'supervisionar']",paradigma
"['significado', 'aprendizagem', 'supervisionar']",paradigma
"['como', 'evitar', 'overfitting']",overfitting
"['poder', 'fazer', 'evitar', 'overfitting']",overfitting
"['como', 'overfitting', 'poder', 'evitar']",overfitting
"['poder', 'evitar', 'ocorrência', 'overfitting']",overfitting
"['como', 'evitar', 'overfitting']",overfitting
"['hiperparâmetro', 'oob', 'score']",oobScore
"['servir', 'hiperparâmetro', 'oob', 'score']",oobScore
"['como', 'hiperparâmetro', 'oob', 'score', 'afetar', 'funcionar']",oobScore
"['importância', 'hiperparâmetro', 'oob', 'score']",oobScore
"['explicar', 'hiperparâmetro', 'oob', 'score']",oobScore
"['hiperparâmetro', 'n', 'jobs']",nJobs
"['servir', 'hiperparâmetro', 'n', 'jobs']",nJobs
"['como', 'hiperparâmetro', 'n', 'jobs', 'afetar', 'funcionar']",nJobs
"['importância', 'hiperparâmetro', 'n', 'jobs']",nJobs
